UID,Response,Category,Sentiment
69,Calendar,0,positive
90,Jumping between different tabs was quite easy and intuitive. Replying also was clear and simple.,0,positive
93,the fact that i was able to write down the to do list and set a reminder on the calendar,0,positive
108,Liked the buttons at the end of an email to go directly to go to.,0,positive
120,The challenge to answer and set the meetings while replying to the emails ,0,positive
123,The fact that I could use the calendar as a reminder was very useful,0,positive
135,it is easy to use,0,positive
150,The buttons that were onsite. eg add to calendar,0,positive
153,It is a normal emailing system and i have had used some in time past,0,positive
168,when i had to do the practical task of what the study is about making those entry and replying to message of the email,0,positive
174,"It was fine, just that the time made me work in a hurry so I might have missed somethings",0,positive
189,ALL THE INTERFACE ARE EXCELLENT,0,positive
399,The calendar option was easy to use,0,positive
402,"The ease of access to the calendar and to do function within the e-mail was nice, streamlined the process well.",0,positive
405,The various ways in which you could select a response depending on your view of the situation and the email received. The quick link to the Calendar option. That you could reply to the emails. That you could create a to-do list.,0,positive
408,The interface was very user friendly. Everything was clear and easy to understand. ,0,positive
420,To login the to do list.,0,positive
423,I found it useful to be able to quickly navigate to the calendar or to-do list right from an email.,0,positive
438,its hard to tell,0,positive
441,I found the event creation and editing features particulary useful as they make scheduling straightforward.,0,positive
444,Nothing unusual but just being able to schedule for meetings,0,positive
450,how to add the event to the calender,0,positive
453,The option to immediately go to the calendar ,0,positive
456,I LIKED THIS MODULE WORKS FINE FOR ME,0,positive
459,the mail,0,positive
471,I did not see anything special,0,positive
483,No aspects that I found was useful because it took me long enough to reply the email.,0,positive
504,The abilty to jump from emails into calanders. that was a good feature ,0,positive
507,"That is functioned like other modern interfaces (google calendar, etc). Simple. Fast.",0,positive
510,the selection of schedules in the calendar.email notifications.,0,positive
516,I found the email and the Calendar aspects most useful,0,positive
525,The planning aspect of the interphase.,0,positive
531,going back from calendar to mail and mail was still open,0,positive
534,"The ""straight to calendar"" and the ""straight to TO-DO List"" features are very useful.",0,positive
540,It was a seamless experience adding events to the calendar,0,positive
543,Quick links to what I need to do in relation to the task,0,positive
546,Being able to swich bwteen tasks/ mails/caldendar quickly,0,positive
549,i really enjoyed the practical task of this study it was really fun and mind exercising despite me not being able to fully complete in the given time ,0,positive
555,it was really inspiring,0,positive
570,Its clarity and simplicity.,0,positive
573,"I find useful having a compact view to the reply, to do and calender. It was easy to use",0,positive
576,"The buttons at the end of the mail ""Reply"" ""Go to calendar"" and ""TODO list""",0,positive
585,Everything worked fine - but this system is same as most I have seen.,0,positive
588,email aspects,0,positive
591,I loved the interface. Would make things so much simple and easier in planning my days and keeping them organized.,0,positive
606,That I could easily click the button at end up at the calendar. ,0,positive
609,It was nice and easy to follow,0,positive
615,it helps me to multitask,0,positive
618,"I think everything was easy to follow, however, having more names or information from the sender would've been more useful.",0,positive
621,The aspects that were there to allow me to keep track were implemented and do the job they are desgined to do.,0,positive
627,the navigation buttons.,0,positive
630,The ease of adding information to calendar and to do list.,0,positive
635,It was interesting.,0,positive
636,The interface is very similar to programs I already use,0,positive
641,I liked that everything was on the same page and one wouldn't struggle to find all required.,0,positive
655,"Everything was very intuitive and simple, adding a calendar to your inbox is extremely useful",0,positive
674,The calender was very intuitive,0,positive
678,"To do list, so it's easier to set the priority. ",0,positive
698,"I don't know, i don't need same system",0,positive
69,Nothing,0,negative
90,"Well, nothing really comes to my mind - had no time to think about aspects, when e-mails were constanly coming. Maybe some notifications?",0,negative
93,the system is a bit confusing. One receives a lot of messages which can be overwhelming.,0,negative
102,THE TIME NEEDED TO COMPLETE MUST INCREASE,0,negative
108,The calender system could be abit more streamlined,0,negative
120,The time of response,0,negative
123,The time was really small for the work or task given to do.,0,negative
135,"It sometimes freezes, I had to re do the study 3 times, so i think you can improve on that",0,negative
153,Well Great UI but it could still be worked on,0,negative
174,Nothing so far,0,negative
189,EVERYTHING IS PERFECT,0,negative
399,Setting the time could be changed to the user typing in the required time instead of have to scroll,0,negative
402,Maybe allowing more time in the simulation as I was only able to filter through two of the tasks,0,negative
405,I cannot think of any- save that in the exercise there was much time pressure to respond- which was difficult in an unfamiliar interface.,0,negative
408,"Nothing, everything fuctioned correctly. ",0,negative
420,Given little bit of time.,0,negative
423,I think having the emails close automatically rather than having to go back into them after creating a calendar event or to-do list reminder would be helpful.,0,negative
438,language barrier ,0,negative
441,I have no suggestions for improvement at this time.,0,negative
444,it works well,0,negative
450,I don't see the need for improvement,0,negative
453,None  its was a good,0,negative
456,FOR NOW IT IS 100% ON POINT BUT MAYBE AFTER USING IT FOR A LONG TIME I MIGHT F,0,negative
459,the mail,0,negative
474,A timer would have been useful ,0,negative
504,For this study I feel like the wor load was a bit much with very little time to complete the work. The system seemed to work very well to me. ,0,negative
507,"I can't think of anything. I'm just glad it doesn't punish me for moving my mouse outside the browser window, or not moving it at all for 10 seconds.",0,negative
510,do not leave the mail after answering.,0,negative
516,"The To-Do and email aspects, especially the User interfaces could be improved",0,negative
525,The system seem flawless to me.,0,negative
531,calendar time picking was very tedious,0,negative
534,"So far, I think it does its job. I think a reminder feature might do well with the system.",0,negative
549,the viewing of events can be made to appear maybe as atop icon to allow easy checking of schedule ,0,negative
552,all good,0,negative
570,Having a log of events would have helped.,0,negative
588,calender needs more timer,0,negative
591,"Ir kept freezing on me, so that needs to be addressed.",0,negative
609,It was kinda rushed,0,negative
615,i think it works so perfect,0,negative
618,Make it possible to add an invite and modify the events so the sender could see the changes.,0,negative
621,"The UI is clunky and unintuitive, I need to be able to respond and create calendar updates quickly. Changing the time was buggy adding in details and titles was cumbersome and forced me to do so.",0,negative
635,The speed and how it responds.,0,negative
636,I can't think of any,0,negative
641,I wish I could be able to insert the time manually and not have to choose,0,negative
655,"When setting up the time in the calendar, the default was always ""XX:30"" so I had to roll back with the keys manually since I didn't found any way to do it. The to do list while useful seemed like an extra, the interface could be more clean and organized. I personally would like it to be a sidebar or a tab on the calendar.",0,negative
674,The to do list can be incorporated into the calender,0,negative
678,"Maybe if I open the calendar/To DO list the system should show the email on the same time, so no need to go forward and backward to check the details. ",0,negative
698,maybe more visibility,0,negative
55,Being able to setup meetings and answer emails on its own is very useful. As to going through something and having to type on your own can be time consuming when you have a lot going on.,1,positive
61,the AI generator for the email replies,1,positive
100,I found the automated drafting to be very useful. ,1,positive
106,Email drafting,1,positive
109,The drafting of responses for emails ,1,positive
124,Automatically drafting emails,1,positive
127,The entire interface was easy to use and well made ,1,positive
133,Automated email reply.,1,positive
136,"All of it! The AI assistant, to do and calendar assistance was much appreciated!",1,positive
184,Having to use a generated message instead of typing,1,positive
382,It helped me learn how to take decisions quickly.,1,positive
383,email ai automated message,1,positive
385,That it was able to schedule the meetings which was very helpful.,1,positive
388,"this is a very interesting and exciting tool, I liked everything about it",1,positive
389,Email drafting and automatic creation of events,1,positive
397,"The interface is well put, easy to use. ",1,positive
409,the drafted response,1,positive
418,calendaring,1,positive
424,one have to be hury,1,positive
427,"The practicity of the tool, even though i struggled a little bit to understand it.",1,positive
433,"It is very clean and simple to use,all the operation seems quite smooth,just the content still need to check if the AI helped are correct.",1,positive
436,How hurried or rushed was the pace of the task,1,positive
442,the drafting of good quality email replies,1,positive
445,Clarity is a positive.,1,positive
454,Definitely the ability of time events already included.,1,positive
466,The calendar made it easier to make notes and save the dates ,1,positive
472,"the ""to-do"" and event suggestions were helpful for the most part",1,positive
475,The AI suggestion button and the redirect for the Todo list.,1,positive
478,The calender and TODO ,1,positive
481,I found the AI support very useful,1,positive
484,the emails as it was something faster that writting by myself,1,positive
487,Drafting response email.,1,positive
493,Ability to auto complete,1,positive
499,"The buttons to perform the tasks were easy to find and helpful.
Also the buttons ""back to email/etc..."" were handy",1,positive
502,the fact that the response on the email was inmediatly transfered to the calendar,1,positive
505,Creating a daft response. I feel like it was probably the feature in,1,positive
508,It was simple to use.,1,positive
511,The AI buttons were easy to find and produced results in seconds.,1,positive
514,"The ability to create draft emails on command was the most useful, it sounded professional too.",1,positive
520,It seemed helpful to me,1,positive
523,"simple, clean layout is really good",1,positive
526,The way it responded to the email,1,positive
529,How it only took a few clicks to complete both the calendar task and the email response.,1,positive
532,The interpretation of the emails and live editing of tasks.,1,positive
541,The Todo was very helpful,1,positive
544,"the fact that it would automatically create events, email responses and tasks. loved that a lot",1,positive
547,How easy it was to just reply to mails,1,positive
556,the suggested action buttons along the bottom,1,positive
559,"Easy to click the buttons, I know what the system will do after clicking them.",1,positive
562,I really liked the drafted replies.,1,positive
568,that i had ready answer,1,positive
571,It was easy to understand and the interface was very user friendly.,1,positive
574,The show of actions based on the to do list,1,positive
580,the drafting of email but all of them were useful,1,positive
583,the calendar ,1,positive
586,the automatism in the answer,1,positive
592,All of them are useful and worked well,1,positive
595,Honestly i think the interface looks nice and easy to use actually its my first time using something like this and i must say i would love to have use it,1,positive
598,"The system was fast in responding (creating responses), creating events and managing my schedule. It saves a lot of time for people with busy schedules and limited time.",1,positive
601,Everything was fine for me ,1,positive
607,Reply's to email,1,positive
610,Being able to quickly preview and send a generated email was very useful as was the notifications of conflicts.,1,positive
619,"I liked the auto settings and that I just had to click to get in and out of the emails, creating events, etc. ",1,positive
622,Clearly labelled buttons!,1,positive
679,"The comprehension of the whole context for each situation, allowed to create coherent replies. ",1,positive
61,ability to do something about the schedule conflicts,1,negative
106,the calendar aspect needs some improvement,1,negative
109,The calendar ,1,negative
118,"the usage in this survey was very quick and pressurized, I could have better understood and used the tool if there was more time allowed for its testing  ",1,negative
124,"Suggesting different meeting times when your calendar is getting quite busy (not that you have a conflict, but that too many meetings in a day would leave you unable to do your regular work).",1,negative
127,I can not tell at this point due to the lack of time that I was able to use the system ,1,negative
133,Calendar,1,negative
