user_id,assigned_condition,correct_calendar_events,correct_todo_items,wrong_calendar_events,wrong_todo_items,missing_calendar_events,missing_todo_items,Unnamed: 0,user_id,responses_consistency
69.0,0,2,1,0,0,6,0,0,69.0,True
90.0,0,1,1,1,0,6,0,1,90.0,True
93.0,0,0,1,2,0,6,0,2,93.0,True
102.0,0,0,0,1,0,7,7,3,102.0,False
108.0,0,4,1,1,0,3,0,4,108.0,True
120.0,0,1,1,1,0,7,1,5,120.0,True
123.0,0,1,1,0,0,7,1,6,123.0,True
129.0,0,0,1,1,0,8,1,7,129.0,True
135.0,0,0,0,2,1,8,1,8,135.0,True
141.0,0,0,1,1,0,8,0,9,141.0,False
150.0,0,1,0,0,0,7,8,10,150.0,True
153.0,0,1,1,0,0,7,7,11,153.0,True
168.0,0,0,0,0,1,8,7,12,168.0,True
174.0,0,0,1,1,0,8,7,13,174.0,True
177.0,0,1,0,2,1,7,8,14,177.0,True
189.0,0,0,1,0,0,8,7,15,189.0,True
399.0,0,2,0,1,0,6,8,16,399.0,True
402.0,0,2,2,0,0,6,6,17,402.0,True
405.0,0,0,1,2,0,8,7,18,405.0,True
408.0,0,1,1,0,0,7,7,19,408.0,True
411.0,0,0,1,1,0,8,7,20,411.0,True
420.0,0,1,0,1,1,1,6,21,420.0,True
423.0,0,3,1,0,0,5,7,22,423.0,True
426.0,0,2,2,0,0,6,6,23,426.0,True
438.0,0,1,0,0,0,5,8,24,438.0,True
441.0,0,1,1,0,0,7,7,25,441.0,True
444.0,0,0,0,2,1,8,8,26,444.0,True
450.0,0,1,0,0,0,7,8,27,450.0,True
453.0,0,1,0,0,0,6,8,28,453.0,True
456.0,0,1,0,0,0,6,3,29,456.0,True
459.0,0,0,1,1,0,8,1,30,459.0,True
465.0,0,3,0,1,1,4,2,31,465.0,True
471.0,0,1,1,0,0,6,2,32,471.0,True
474.0,0,0,0,0,0,7,2,33,474.0,True
483.0,0,0,0,0,0,6,6,34,483.0,True
486.0,0,0,1,0,0,6,5,35,486.0,True
492.0,0,2,3,1,0,4,3,36,492.0,True
504.0,0,1,0,0,0,8,9,37,504.0,True
507.0,0,3,0,0,0,6,9,38,507.0,True
510.0,0,0,0,1,1,5,5,39,510.0,True
516.0,0,1,1,0,0,4,4,40,516.0,True
525.0,0,1,1,0,0,4,4,41,525.0,True
531.0,0,3,0,1,0,3,7,42,531.0,True
534.0,0,0,1,3,0,7,6,43,534.0,True
540.0,0,0,0,2,0,7,8,44,540.0,True
543.0,0,3,2,0,0,4,5,45,543.0,True
546.0,0,1,1,2,0,6,7,46,546.0,True
549.0,0,1,1,0,0,6,6,47,549.0,True
552.0,0,1,0,1,0,6,7,48,552.0,True
555.0,0,2,0,0,0,5,7,49,555.0,True
570.0,0,1,1,0,0,7,7,50,570.0,True
573.0,0,3,2,0,0,5,6,51,573.0,True
576.0,0,2,2,0,0,6,6,52,576.0,True
585.0,0,2,1,0,0,6,7,53,585.0,True
588.0,0,0,0,0,0,8,8,54,588.0,True
591.0,0,2,0,0,0,6,8,55,591.0,True
600.0,0,2,0,1,0,5,7,56,600.0,True
603.0,0,0,2,3,1,7,5,57,603.0,True
606.0,0,1,0,0,0,6,7,58,606.0,True
609.0,0,4,1,0,0,3,6,59,609.0,True
615.0,0,0,0,1,1,0,0,60,615.0,False
618.0,0,2,0,1,0,3,7,61,618.0,True
621.0,0,1,1,1,0,5,6,62,621.0,True
627.0,0,0,0,2,0,2,7,63,627.0,True
630.0,0,1,1,0,0,6,0,64,630.0,True
635.0,0,0,0,1,1,8,8,65,635.0,True
636.0,0,1,1,1,0,7,7,66,636.0,True
637.0,0,5,1,0,0,2,6,67,637.0,True
640.0,0,2,0,1,0,4,8,68,640.0,True
641.0,0,0,0,1,0,8,8,69,641.0,True
655.0,0,2,2,0,0,6,6,70,655.0,True
674.0,0,0,0,2,1,8,7,71,674.0,True
676.0,0,0,1,0,0,4,3,72,676.0,True
678.0,0,2,1,0,0,3,3,73,678.0,True
680.0,0,0,7,6,1,8,0,74,680.0,True
697.0,0,3,1,2,1,3,5,75,697.0,True
698.0,0,0,0,2,0,7,7,76,698.0,False
